Command
2024-11-25 05:09:47.370263,cd subdir
2024-11-25 05:09:47.371263,ls
2024-11-25 05:09:47.375265,du
2024-11-25 05:09:47.377265,ls
2024-11-25 05:09:47.379266,pwd
2024-11-25 05:14:16.081213,cd subdir
2024-11-25 05:14:16.081213,ls
2024-11-25 05:14:16.085211,du
2024-11-25 05:14:16.086213,ls
2024-11-25 05:14:16.087211,cd subdir
2024-11-25 05:14:16.087211,pwd
2024-11-25 05:14:16.093411,touch newfile.txt
2024-11-25 05:14:16.093411,ls
2024-11-25 05:15:37.432007,cd subdir
2024-11-25 05:15:37.432007,pwd
2024-11-25 05:15:37.436005,du
2024-11-25 05:15:37.436987,exit
2024-11-25 05:15:37.437988,ls
2024-11-25 05:15:37.439991,pwd
2024-11-25 05:15:37.440987,uptime
2024-11-25 05:16:10.438945,cd subdir
2024-11-25 05:16:10.440945,pwd
2024-11-25 05:16:10.441961,cd ..
2024-11-25 05:16:10.442945,cd subdir
2024-11-25 05:16:10.443944,pwd
2024-11-25 05:16:10.443944,cd ..
2024-11-25 05:16:10.444946,cd subdir
2024-11-25 05:16:10.445944,pwd
2024-11-25 05:16:10.445944,cd ..
2024-11-25 05:16:10.447944,du
2024-11-25 05:16:10.454426,ls
2024-11-25 05:16:10.454426,ls
2024-11-25 05:16:10.455820,ls
2024-11-25 05:16:10.456825,pwd
2024-11-25 05:16:10.457827,pwd
2024-11-25 05:16:10.457827,pwd
2024-11-25 05:16:10.459902,uptime
2024-11-25 05:16:10.460902,uptime
2024-11-25 05:16:10.460902,uptime
2024-11-25 05:17:39.808849,cd subdir
2024-11-25 05:17:39.809760,pwd
2024-11-25 05:17:39.810754,cd ..
2024-11-25 05:17:39.811754,cd subdir
2024-11-25 05:17:39.811754,pwd
2024-11-25 05:17:39.812753,cd ..
2024-11-25 05:17:39.813853,cd subdir
2024-11-25 05:17:39.813853,pwd
2024-11-25 05:17:39.813853,cd ..
2024-11-25 05:17:39.815849,du
2024-11-25 05:17:39.823753,ls
2024-11-25 05:17:39.824754,ls
2024-11-25 05:17:39.825974,ls
2024-11-25 05:17:39.827296,pwd
2024-11-25 05:17:39.828304,pwd
2024-11-25 05:17:39.828931,pwd
2024-11-25 05:17:39.829436,uptime
2024-11-25 05:17:39.830442,uptime
2024-11-25 05:17:39.830442,uptime
2024-11-25 05:18:40.787927,cd subdir
2024-11-25 05:18:40.788926,ls
2024-11-25 05:18:40.790926,du
2024-11-25 05:18:40.795928,ls
2024-11-25 05:18:40.796927,pwd
2024-11-25 05:18:40.798927,uptime
2024-11-25 05:19:24.130153,cd subdir
2024-11-25 05:19:24.131500,ls
2024-11-25 05:19:24.132595,du
2024-11-25 05:19:24.137595,ls
2024-11-25 05:19:24.139597,pwd
2024-11-25 05:19:24.142605,uptime
2024-11-25 05:19:48.712205,cd subdir
2024-11-25 05:19:48.713205,ls
2024-11-25 05:19:48.714220,du
2024-11-25 05:19:48.715204,ls
2024-11-25 05:19:48.719204,pwd
2024-11-25 05:19:48.720333,uptime
2024-11-25 05:20:29.757227,cd subdir
2024-11-25 05:20:29.758181,ls
2024-11-25 05:20:29.759168,du
2024-11-25 05:20:29.761176,ls
2024-11-25 05:20:29.765231,pwd
2024-11-25 05:20:29.765231,uptime
2024-11-25 05:21:12.012826,cd subdir
2024-11-25 05:21:12.013827,ls
2024-11-25 05:21:12.014832,du
2024-11-25 05:21:12.016838,ls
2024-11-25 05:21:12.017835,pwd
2024-11-25 05:21:12.018827,uptime
2024-11-25 05:21:58.749589,cd subdir
2024-11-25 05:21:58.751589,ls
2024-11-25 05:21:58.752589,du
2024-11-25 05:21:58.754679,ls
2024-11-25 05:21:58.755639,pwd
2024-11-25 05:21:58.756654,uptime
2024-11-25 05:24:15.369009,cd subdir
2024-11-25 05:24:15.371073,ls
2024-11-25 05:24:15.373012,du
2024-11-25 05:24:15.375106,ls
2024-11-25 05:24:15.376014,pwd
2024-11-25 05:24:15.377059,uptime
2024-11-25 05:25:52.405348,cd subdir
2024-11-25 05:25:52.406347,ls
2024-11-25 05:25:52.408251,du
2024-11-25 05:25:52.410340,ls
2024-11-25 05:25:52.411359,pwd
2024-11-25 05:25:52.411359,uptime
2024-11-25 05:28:08.254642,cd subdir
2024-11-25 05:28:08.256646,ls
2024-11-25 05:28:08.257745,du
2024-11-25 05:28:08.260744,ls
2024-11-25 05:28:08.263650,pwd
2024-11-25 05:28:08.264647,uptime
2024-11-25 05:31:50.354070,cd subdir
2024-11-25 05:31:50.355060,ls
2024-11-25 05:31:50.355997,du
2024-11-25 05:31:50.357986,ls
2024-11-25 05:31:50.357986,pwd
2024-11-25 05:31:50.359966,uptime
2024-11-25 05:32:14.960408,cd subdir
2024-11-25 05:32:14.961408,ls
2024-11-25 05:32:14.962408,du
2024-11-25 05:32:14.965407,ls
2024-11-25 05:32:14.966408,pwd
2024-11-25 05:32:14.967431,uptime
2024-11-25 05:32:31.554537,cd subdir
2024-11-25 05:32:31.555693,ls
2024-11-25 05:32:31.556711,du
2024-11-25 05:32:31.558707,ls
2024-11-25 05:32:31.559752,pwd
2024-11-25 05:32:31.560739,uptime
2024-11-25 05:33:06.421304,ls
2024-11-25 05:33:09.447095,du
2024-11-25 05:33:15.886658,uptime
2024-11-25 05:33:34.309220,cd subdir
2024-11-25 05:33:37.199264,ls
2024-11-25 05:33:47.134287,cd ..
2024-11-25 05:33:51.319253,ls
2024-11-25 05:34:01.587559,pwd
2024-11-25 05:34:12.206817,cd subdir
2024-11-25 05:34:18.662357,pwd
2024-11-25 05:34:26.039917,ls
